freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.015e+00,4.943e+01,4.978e+00,6.043e+01
1.5,2.376e+01,5.246e+01,2.355e+01,9.977e+01
3.1,2.698e+01,4.497e+01,2.652e+01,9.847e+01
4.6,3.316e+01,3.092e+02,3.041e+01,3.728e+02
6.2,3.862e+01,9.836e+02,3.361e+01,1.056e+03
7.7,4.679e+01,1.636e+03,3.373e+01,1.716e+03
9.3,7.244e+01,2.405e+03,3.666e+01,2.514e+03
10.8,9.905e+01,3.247e+03,4.379e+01,3.390e+03
12.4,1.352e+02,3.705e+03,4.641e+01,3.887e+03
13.9,1.794e+02,3.617e+03,5.429e+01,3.851e+03
15.5,2.172e+02,3.892e+03,5.789e+01,4.168e+03
17.0,2.010e+02,3.898e+03,5.596e+01,4.155e+03
18.6,1.358e+02,3.530e+03,3.842e+01,3.704e+03
20.1,1.194e+02,3.860e+03,3.734e+01,4.017e+03
21.7,1.137e+02,4.830e+03,4.544e+01,4.989e+03
23.2,1.480e+02,6.446e+03,4.894e+01,6.643e+03
24.8,2.043e+02,8.514e+03,5.618e+01,8.775e+03
26.3,2.462e+02,1.086e+04,6.221e+01,1.117e+04
27.9,3.030e+02,1.455e+04,8.311e+01,1.494e+04
29.4,4.697e+02,2.169e+04,1.068e+02,2.227e+04
31.0,6.744e+02,2.679e+04,7.259e+01,2.754e+04
32.5,7.899e+02,2.911e+04,7.489e+01,2.997e+04
34.1,8.428e+02,2.620e+04,9.960e+01,2.714e+04
35.6,1.065e+03,2.097e+04,1.042e+02,2.214e+04
37.1,1.421e+03,1.847e+04,1.057e+02,2.000e+04
38.7,1.603e+03,2.055e+04,1.072e+02,2.226e+04
40.2,1.511e+03,2.409e+04,1.185e+02,2.572e+04
41.8,1.324e+03,2.482e+04,1.210e+02,2.626e+04
43.3,1.104e+03,2.291e+04,1.158e+02,2.413e+04
44.9,7.940e+02,1.999e+04,1.046e+02,2.089e+04
46.4,7.354e+02,1.709e+04,6.525e+01,1.789e+04
48.0,8.233e+02,1.452e+04,5.290e+01,1.540e+04
49.5,6.423e+02,1.192e+04,4.883e+01,1.261e+04
51.1,4.654e+02,9.700e+03,3.961e+01,1.020e+04
52.6,3.389e+02,7.564e+03,3.877e+01,7.942e+03
54.2,2.451e+02,5.669e+03,3.527e+01,5.949e+03
55.7,1.725e+02,4.281e+03,3.806e+01,4.491e+03
57.3,1.068e+02,3.258e+03,4.160e+01,3.406e+03
