freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.123e+01,7.745e+00,5.470e+00,4.445e+01
1.5,3.704e+01,2.585e+01,2.741e+01,9.029e+01
3.1,2.733e+01,2.646e+01,3.357e+01,8.736e+01
4.6,1.536e+02,2.959e+01,2.940e+01,2.126e+02
6.2,5.279e+02,4.815e+01,2.913e+01,6.052e+02
7.7,8.677e+02,7.901e+01,3.226e+01,9.790e+02
9.3,1.271e+03,1.212e+02,3.392e+01,1.426e+03
10.8,1.751e+03,1.653e+02,3.549e+01,1.952e+03
12.4,1.960e+03,2.835e+02,3.668e+01,2.280e+03
13.9,2.252e+03,3.482e+02,3.903e+01,2.640e+03
15.5,2.711e+03,3.247e+02,5.190e+01,3.088e+03
17.0,3.449e+03,3.814e+02,6.605e+01,3.897e+03
18.6,4.519e+03,6.060e+02,7.679e+01,5.201e+03
20.1,5.931e+03,8.604e+02,8.106e+01,6.872e+03
21.7,7.501e+03,1.068e+03,8.565e+01,8.654e+03
23.2,9.607e+03,1.324e+03,9.509e+01,1.103e+04
24.8,1.271e+04,1.856e+03,1.145e+02,1.468e+04
26.3,1.474e+04,2.567e+03,1.551e+02,1.747e+04
27.9,1.546e+04,3.030e+03,1.764e+02,1.867e+04
29.4,1.568e+04,3.200e+03,1.834e+02,1.906e+04
31.0,1.670e+04,2.867e+03,1.759e+02,1.975e+04
32.5,1.504e+04,2.682e+03,1.655e+02,1.789e+04
34.1,1.283e+04,3.080e+03,1.760e+02,1.609e+04
35.6,1.552e+04,2.106e+03,1.443e+02,1.777e+04
37.2,1.547e+04,1.814e+03,9.915e+01,1.738e+04
38.7,1.087e+04,2.238e+03,8.244e+01,1.319e+04
40.3,6.065e+03,1.935e+03,9.376e+01,8.094e+03
41.8,3.544e+03,1.048e+03,1.194e+02,4.711e+03
43.4,2.064e+03,4.781e+02,1.618e+02,2.704e+03
44.9,1.088e+03,2.204e+02,2.230e+02,1.531e+03
46.5,5.494e+02,1.046e+02,2.329e+02,8.868e+02
48.0,2.503e+02,6.569e+01,1.808e+02,4.968e+02
49.6,1.079e+02,6.107e+01,1.546e+02,3.235e+02
51.1,1.027e+02,9.256e+01,1.878e+02,3.830e+02
52.7,1.654e+02,1.295e+02,1.911e+02,4.861e+02
54.2,2.489e+02,1.154e+02,1.402e+02,5.046e+02
55.8,4.337e+02,7.662e+01,1.276e+02,6.379e+02
57.3,7.100e+02,6.771e+01,1.514e+02,9.292e+02
58.9,6.305e+02,7.936e+01,1.713e+02,8.812e+02
60.4,6.418e+02,8.758e+01,1.831e+02,9.125e+02
62.0,1.052e+03,1.038e+02,1.833e+02,1.339e+03
63.5,1.272e+03,1.551e+02,1.926e+02,1.620e+03
65.1,1.022e+03,2.202e+02,1.886e+02,1.431e+03
66.6,1.144e+03,3.001e+02,1.960e+02,1.640e+03
68.2,1.407e+03,3.685e+02,1.473e+02,1.923e+03
69.7,1.413e+03,3.950e+02,1.427e+02,1.951e+03
71.3,1.292e+03,4.317e+02,1.341e+02,1.858e+03
72.8,1.428e+03,5.058e+02,1.390e+02,2.072e+03
74.4,1.723e+03,5.705e+02,1.613e+02,2.455e+03
75.9,1.875e+03,6.262e+02,1.746e+02,2.676e+03
77.5,2.004e+03,6.587e+02,1.915e+02,2.854e+03
79.0,2.253e+03,7.089e+02,2.200e+02,3.182e+03
80.5,2.277e+03,7.217e+02,2.438e+02,3.243e+03
82.1,2.146e+03,6.592e+02,2.752e+02,3.081e+03
83.6,2.085e+03,6.464e+02,2.760e+02,3.008e+03
85.2,1.867e+03,6.800e+02,2.512e+02,2.798e+03
86.7,1.655e+03,7.117e+02,2.548e+02,2.621e+03
88.3,1.477e+03,6.637e+02,2.527e+02,2.394e+03
89.8,1.189e+03,6.566e+02,2.522e+02,2.098e+03
91.4,1.047e+03,7.319e+02,2.619e+02,2.041e+03
92.9,1.059e+03,6.443e+02,2.500e+02,1.953e+03
94.5,1.187e+03,5.035e+02,2.164e+02,1.907e+03
96.0,1.298e+03,3.838e+02,1.568e+02,1.838e+03
97.6,1.052e+03,3.418e+02,1.372e+02,1.531e+03
99.1,7.264e+02,3.834e+02,1.471e+02,1.257e+03
100.7,6.353e+02,4.380e+02,1.868e+02,1.260e+03
102.2,7.042e+02,4.102e+02,1.829e+02,1.297e+03
103.8,1.430e+03,3.328e+03,4.142e+02,5.173e+03
105.3,5.819e+03,2.389e+04,2.101e+03,3.181e+04
106.9,2.898e+03,1.039e+04,1.015e+03,1.431e+04
108.4,5.904e+02,2.937e+02,1.248e+02,1.009e+03
110.0,4.917e+02,2.184e+02,1.217e+02,8.318e+02
111.5,4.605e+02,2.222e+02,1.372e+02,8.199e+02
113.1,4.233e+02,2.229e+02,1.440e+02,7.902e+02
114.6,3.687e+02,2.113e+02,1.427e+02,7.227e+02
116.2,3.493e+02,1.949e+02,1.605e+02,7.047e+02
117.7,3.438e+02,1.828e+02,1.718e+02,6.984e+02
119.3,3.016e+02,1.735e+02,1.671e+02,6.422e+02
120.8,2.893e+02,1.636e+02,1.707e+02,6.235e+02
122.4,2.998e+02,1.461e+02,1.737e+02,6.196e+02
123.9,3.150e+02,1.515e+02,1.706e+02,6.372e+02
125.5,3.552e+02,1.854e+02,1.869e+02,7.275e+02
127.0,3.832e+02,2.010e+02,2.068e+02,7.910e+02
128.6,4.294e+02,2.337e+02,2.155e+02,8.786e+02
130.1,4.543e+02,2.530e+02,2.214e+02,9.288e+02
131.7,4.893e+02,2.395e+02,2.143e+02,9.432e+02
133.2,4.340e+02,1.791e+02,2.026e+02,8.157e+02
134.8,4.040e+02,1.516e+02,2.153e+02,7.709e+02
136.3,4.222e+02,1.638e+02,2.518e+02,8.378e+02
137.9,4.240e+02,1.633e+02,2.639e+02,8.512e+02
139.4,4.187e+02,1.466e+02,2.580e+02,8.234e+02
141.0,4.140e+02,1.285e+02,2.502e+02,7.927e+02
142.5,4.008e+02,1.098e+02,2.391e+02,7.496e+02
144.1,3.694e+02,1.033e+02,2.136e+02,6.864e+02
145.6,3.392e+02,1.127e+02,1.827e+02,6.345e+02
147.2,3.288e+02,1.398e+02,1.776e+02,6.463e+02
148.7,3.184e+02,1.447e+02,1.703e+02,6.333e+02
150.3,3.443e+02,1.354e+02,1.858e+02,6.654e+02
151.8,3.476e+02,1.341e+02,1.729e+02,6.547e+02
153.4,2.999e+02,1.413e+02,1.751e+02,6.164e+02
154.9,2.474e+02,1.600e+02,1.802e+02,5.876e+02
156.4,2.082e+02,1.624e+02,1.706e+02,5.412e+02
158.0,2.364e+02,1.600e+02,1.428e+02,5.392e+02
159.5,2.264e+02,1.452e+02,1.428e+02,5.144e+02
161.1,2.242e+02,1.362e+02,1.352e+02,4.956e+02
162.6,2.329e+02,1.254e+02,1.227e+02,4.810e+02
164.2,2.066e+02,1.192e+02,1.130e+02,4.388e+02
165.7,1.578e+02,1.120e+02,1.113e+02,3.811e+02
167.3,1.304e+02,1.075e+02,1.043e+02,3.422e+02
168.8,1.267e+02,1.027e+02,9.441e+01,3.238e+02
170.4,1.443e+02,9.116e+01,9.503e+01,3.305e+02
171.9,1.678e+02,8.189e+01,1.142e+02,3.640e+02
173.5,1.761e+02,7.043e+01,1.049e+02,3.514e+02
175.0,2.016e+02,6.394e+01,1.131e+02,3.786e+02
176.6,2.129e+02,6.369e+01,1.072e+02,3.838e+02
178.1,2.248e+02,6.913e+01,1.066e+02,4.005e+02
179.7,2.013e+02,6.384e+01,1.084e+02,3.736e+02
181.2,1.731e+02,6.908e+01,1.105e+02,3.528e+02
182.8,1.407e+02,6.251e+01,1.065e+02,3.097e+02
184.3,1.331e+02,5.663e+01,9.680e+01,2.866e+02
185.9,1.349e+02,5.497e+01,9.440e+01,2.843e+02
187.4,1.361e+02,5.377e+01,1.058e+02,2.956e+02
189.0,1.336e+02,5.047e+01,1.028e+02,2.869e+02
190.5,1.260e+02,4.845e+01,9.371e+01,2.681e+02
192.1,1.242e+02,4.508e+01,9.489e+01,2.642e+02
193.6,1.266e+02,4.479e+01,1.029e+02,2.743e+02
195.2,1.207e+02,4.963e+01,9.964e+01,2.699e+02
196.7,1.162e+02,5.401e+01,1.121e+02,2.822e+02
198.3,1.056e+02,5.607e+01,1.404e+02,3.020e+02
199.8,1.008e+02,6.349e+01,1.614e+02,3.257e+02
